"time","C01","C02","C03","C04","D01","D02","D03","D04"
1.333333373,10.61,11.03,10.81,10.69,11.05,10.73,10.68,10.78
1.666666746,10.58,10.89,10.75,10.7,10.98,10.72,10.72,10.66
2,10.61,10.9,10.8,10.6,11.07,10.69,10.68,10.55
2.333333492,10.61,10.86,10.75,10.57,11.03,10.71,10.72,10.62
2.666666746,10.68,10.92,10.8,10.64,11.08,10.75,10.72,10.6
3,10.78,10.92,10.84,10.61,11.28,10.84,10.71,10.56
3.333333492,10.84,11.06,10.84,10.63,11.26,10.85,10.72,10.61
3.666666746,10.87,11.13,10.85,10.66,11.4,10.93,10.76,10.61
4,11.01,11.22,10.88,10.68,11.45,10.96,10.85,10.63
4.333333492,11.04,11.29,10.97,10.65,11.54,11.06,10.84,10.73
4.666666985,11.24,11.46,10.94,10.7,11.72,11.1,10.89,10.71
5,11.42,11.52,11.02,10.79,11.85,11.12,10.94,10.75
5.333333492,11.47,11.77,10.95,10.74,12.05,11.39,10.98,10.74
5.666666985,11.63,12.04,11.06,10.84,12.19,11.54,10.97,10.82
6,11.74,12.1,11.11,10.89,12.2,11.64,11.03,10.98
6.333333492,12.16,12.85,11.14,10.96,12.55,11.59,11.07,10.99
6.666666985,12.9,14.18,11.18,11.07,13.02,11.79,11.07,11.1
7,14.21,16.75,11.21,11.19,13.88,12.32,11.11,11.31
7.333333492,16.81,21.28,11.32,11.36,15.63,13.3,11.15,11.53
7.666666985,21.21,28.94,11.28,11.54,18.49,14.95,11.24,11.88
8,28.14,40.42,11.32,11.82,23.33,17.98,11.19,12.35
8.333333969,37.79,55.83,11.38,12.07,30.68,22.77,11.22,13.07
8.666666985,50.52,74.97,11.51,12.51,40.4,29.79,11.32,13.92
9,66.09,97.87,11.52,13.08,52.88,39.16,11.37,15.09
9.333333969,84.45,123.55,11.52,13.65,68.03,51.21,11.36,16.6
9.666666985,105.04,151.7,11.6,14.42,85.33,65.37,11.51,18.18
